Outer wall insulation,,,,,,
Outer wall thermal insulation - realization times in person-hours per m²,,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Minimum ,Average,Maximum 
A,GH1,1/23/2023,Outer wall insulation,0.9125,1.1,"1,215"
A,GH2,1/31/2023,Outer wall insulation,"1,165",1.5,2.39
A,GH3,2/24/2023,Outer wall insulation,"21,525","2,235","23,175"
A,GH4,1/29/2023,Outer wall insulation,,"1,675",
A,GH5,2/4/2023,Outer wall insulation,,1.79,
A,GH6,2/6/2023,Outer wall insulation,0.9,1.25,1.55
A,GH8,2/6/2023,Outer wall insulation,,1.9,
A,GH9,2/6/2023,Outer wall insulation,1,,1.75
A,GH10,1/23/2023,Outer wall insulation,0.625,0.9,
A,GH11,2/3/2023,Outer wall insulation,1,1.5,
A,GH12,2/11/2023,Outer wall insulation,1,1.4,1.8
A,GH13,2/14/2023,Outer wall insulation,,2,
A,GH16,1/28/2023,Outer wall insulation,1.1,1.5,2.4
A,GH17,1/28/2023,Outer wall insulation,1.2,1.1,2.45
A,GH18,1/29/2023,Outer wall insulation,0.48,"1,445",0.96
A,GH19,1/31/2023,Outer wall insulation,0.75,1.8,1
A,GH20,2/2/2023,Outer wall insulation,0.9,"1,125",1.9
A,GH21,2/4/2023,Outer wall insulation,"1,125",1.55,1.6
A,GH22,2/5/2023,Outer wall insulation,0.75,1,1.25
A,GH23,2/7/2023,Outer wall insulation,1,1,1.5
A,GH24,2/9/2023,Outer wall insulation,"1,225","1,375",1.95
A,GH25,2/9/2023,Outer wall insulation,1.35,1.5,2
A,GH26,2/11/2023,Outer wall insulation,0.5,1.2,0.8
A,GH27,2/13/2023,Outer wall insulation,0.75,2.25,"1,125"
A,GH28,2/27/2023,Outer wall insulation,0.775,"1,125",1.5
A,GH29,2/24/2023,Outer wall insulation,0.55,1.25,1.1
A,GH30,3/4/2023,Outer wall insulation,1,0.7,1.9
A,GH34,1/28/2023,Outer wall insulation,1.32,1.48,1.1
A,GH35,1/28/2023,Outer wall insulation,0.975,0.8,2.25
A,GH36,1/28/2023,Outer wall insulation,1.28,1.4,1.6
A,GH39,1/29/2023,Outer wall insulation,2.5,2.5,2.75
A,GH43,1/29/2023,Outer wall insulation,1.5,1.75,1.75
A,GH46,1/30/2023,Outer wall insulation,"1,225",1.75,2.35
A,GH47,1/31/2023,Outer wall insulation,0.6,0.8,
A,GH48,2/2/2023,Outer wall insulation,0.7,0.9,1.25
A,GH49,2/4/2023,Outer wall insulation,0.925,1.25,1.5
A,GH50,2/5/2023,Outer wall insulation,0.5,0.6,0.9
A,GH52,2/6/2023,Outer wall insulation,1.5,1.6,1.8
A,GH53,2/9/2023,Outer wall insulation,1.75,1.5,2
A,GH54,1/28/2023,Outer wall insulation,1.1,1.1,1.1
A,GH55,1/30/2023,Outer wall insulation,,1.1,
A,GH56,1/31/2023,Outer wall insulation,0.6,0.96,
A,GH57,1/31/2023,Outer wall insulation,1,1.25,1.5
A,GH58,2/5/2023,Outer wall insulation,1.8,"1,884",1.26
A,GH59,2/6/2023,Outer wall insulation,1,1.25,1.5
A,GH60,2/6/2023,Outer wall insulation,,1.5,
