Pellet boiler installation ,,,,
Pellet boiler installation - realization times in person-hours per boiler,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Average
B,GT1,10/13/2022,Pellet boiler,26
B,GT2,1/24/2023,Pellet boiler,104
B,GT3,2/22/2023,Pellet boiler,160
B,GT4,3/8/2023,Pellet boiler,120
B,GT5,3/8/2023,Pellet boiler,60
C,GT9,3/8/2023,Pellet boiler,136
C,GT10,10/13/2022,Pellet boiler,80
C,GT12,2/2/2023,Pellet boiler,192
A,GT24,2/3/2023,Pellet boiler,80
A,GT27,2/16/2023,Pellet boiler,112
A,GT29,2/22/2023,Pellet boiler,100
A,GT31,2/27/2023,Pellet boiler,160
A,GT34,3/8/2023,Pellet boiler,100
