Radiator exchange ,,,,
Radiator exchange - realization times in person-hours per radiator ,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Average
B,GT1,10/13/2022,Radiator exchange,6
B,GT2,1/24/2023,Radiator exchange,3
B,GT3,2/22/2023,Radiator exchange,2
B,GT4,3/8/2023,Radiator exchange,3
B,GT5,3/8/2023,Radiator exchange,3
C,GT9,3/8/2023,Radiator exchange,6
C,GT10,10/13/2022,Radiator exchange,1
C,GT11,2/27/2023,Radiator exchange,0.25
C,GT12,2/2/2023,Radiator exchange,2
A,GT23,2/14/2023,Radiator exchange,5
A,GT25,2/14/2023,Radiator exchange,3
A,GT26,2/14/2023,Radiator exchange,3
A,GT29,2/22/2023,Radiator exchange,4
