Solar thermal collector,,,,,,
Solar thermal collector - realization times in person-hours per collector (5m²),,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Minimum,Average,Maximum
B,GT1,10/13/2022,Solar thermal,,4.3,
B,GT2,1/24/2023,Solar thermal,,5.1,
B,GT3,2/22/2023,Solar thermal,,8.5,
B,GT4,3/8/2023,Solar thermal,,3.2,
B,GT5,3/8/2023,Solar thermal,,2,
A,GH12,2/11/2023,Solar thermal,4,6,8
A,GH13,2/14/2023,Solar thermal,,8,
A,GH14,2/18/2023,Solar thermal,8,12,16
A,GH15,2/26/2023,Solar thermal,3,4,9
A,GH18,1/29/2023,Solar thermal,,5,
A,GH19,1/31/2023,Solar thermal,2,5,
A,GH23,2/7/2023,Solar thermal,3,4.5,6
A,GH24,2/9/2023,Solar thermal,,10,
A,GH30,3/4/2023,Solar thermal,2.4,4.8,6.9
A,GH36,1/28/2023,Solar thermal,1.8,3,6.9
A,GH51,2/6/2023,Solar thermal,1,3,6
A,GT1,10/13/2022,Solar thermal,,8.3,
